"Microchip","dftd","Sex","age","Weight","Headwidth","year","TrapID"
"982000365118948",0,"Male",23,9.8,115.3,2019,"FNP095"
"982000365119589",1,"Male",34,10.3,115.7,2018,"FNP038"
"982000365119793",1,"Male",28,8.4,116.6,2018,"FNP034"
"982000365119793",0,"Male",22,8.9,113.6,2018,"FNP032"
"982000365120008",0,"Female",25,8.9,105.1,2018,"FNP028"
"982000365120008",0,"Female",22,7.8,102.8,2018,"FNP036"
"982000365120008",0,"Female",19,7.2,103.7,2017,"FNP023"
"982000365120008",1,"Female",31,8.8,106.5,2018,"FNP034"
"982000365120008",1,"Female",28,9.2,104.9,2018,"FNP038"
"982000365120008",0,"Female",15,6.2,95.2,2017,"FNP032"
"982000365120056",0,"Male",16,8.1,110.4,2016,"FNP093"
"982000365120122",0,"Male",19,7.6,100.5,2017,"FNP082"
"982000365120122",1,"Male",31,9.6,116,2018,"FNP082"
"982000365120122",0,"Male",22,9,111.4,2018,"FNP078"
"982000365120122",0,"Male",24,10.2,115,2018,"FNP083"
"982000365120277",0,"Female",15,6,98.3,2017,"FNP018"
"982000365120277",0,"Female",25,7.8,104.3,2018,"FNP020"
"982000365120277",0,"Female",19,5.8,99.8,2017,"FNP017"
"982000365120277",0,"Female",28,8.3,106.9,2018,"FNP036"
"982000365120478",0,"Female",14,5.3,96,2017,"FNP046"
"982000365120627",1,"Female",19,5.4,92.5,2017,"FNP090"
"982000365120650",1,"Male",31,9.8,115.9,2017,"FNP093"
"982000365120699",0,"Female",26,6.7,98.1,2017,"FNP079"
"982000365120702",0,"Male",14,6.7,102.5,2017,"FNP102"
"982000365120702",0,"Male",41,6.9,103.6,2019,"FNP040"
"982000365120702",0,"Male",19,8.3,109.4,2017,"FNP090"
"982000365120702",0,"Male",41,11.8,121.6,2019,"FNP034"
"982000365120702",0,"Male",44,10.7,122.3,2019,"FNP090"
"982000365120777",0,"Male",17,8.5,114.8,2016,"FNP046"
"982000365120788",1,"Male",26,9.8,104.9,2017,"FNP165"
"982000365120788",0,"Male",18,7.6,108.7,2016,"FNP102"
"982000365120866",0,"Male",15,7.6,108,2016,"FNP040"
"982000365120866",0,"Male",17,8.3,114.6,2016,"FNP038"
"982000365120879",1,"Male",34,7.1,102.5,2019,"FNP096"
"982000365120879",0,"Male",28,7.8,104.3,2018,"FNP115"
"982000365120879",0,"Male",14,4.4,89.3,2017,"FNP112"
"982000365120879",0,"Male",19,5,99.1,2017,"FNP102"
"982000365120887",0,"Female",15,6.3,99,2017,"FNP032"
"982000365120920",1,"Female",19,5.9,103.4,2016,"FNP043"
"982000365582545",0,"Male",20,10.1,91,2014,"FNP049"
"982000365591637",0,"Male",16,7,105.1,2018,"FNP040"
"982000365591637",0,"Male",19,7.8,110.8,2018,"FNP037"
"982000365591658",1,"Female",28,8,99.6,2018,"FNP001"
"982000365591658",0,"Female",22,7.2,97.2,2018,"FNP006"
"982000365591658",0,"Female",19,5.5,96.6,2017,"FNP007"
"982000365591658",0,"Female",14,5.1,92.9,2017,"FNP007"
"982000365591819",0,"Male",22,7.6,111.7,2018,"FNP012"
"982000365591819",0,"Male",19,6.6,103.5,2017,"FNP014"
"982000365591819",0,"Male",15,7,101.4,2017,"FNP026"
"982000365591819",0,"Male",25,8.4,112.8,2018,"FNP018"
"982000365592175",0,"Female",19,5.8,101.7,2017,"FNP028"
"982000365594358",0,"Male",19,9.6,114.4,2018,"FNP032"
"982000365594495",0,"Male",34,9.2,115.3,2018,"FNP077"
"982000365594495",0,"Male",26,8.8,109.7,2017,"FNP079"
"982000365594495",0,"Male",20,8,111.7,2016,"FNP037"
"982000365594586",0,"Male",19,7.8,105.9,2017,"FNP102"
"982000365594586",1,"Male",25,10.9,115.8,2018,"FNP111"
"982000365594586",0,"Male",14,6.8,102,2017,"FNP104"
