"Microchip","Weight","Headwidth","age","Sex","Fhat3","year","TrapID"
"985120015999193",5.7,106.8,19,"Female",0.0826125,2004,"FNP121"
"985120015999432",5.3,113.5,32,"Female",-0.0804366,2005,"FNP122"
"985120015999432",5.9,104.7,19,"Female",-0.0804366,2004,"FNP120"
"985120015999432",5.3,113.5,32,"Female",-0.0804366,2005,"FNP121"
"985120015999432",4.69,96.8,15,"Female",-0.0804366,2004,"FNP120"
"985120015999432",7.5,116.1,27,"Female",-0.0804366,2005,"FNP118"
"985120016019072",5.4,101.1,15,"Male",0.0076361,2004,"FNP101"
"985120016020002",6.5,106.5,44,"Female",-0.072465,2004,"FNP106"
"985120016020002",8.39,109,39,"Female",-0.072465,2004,"FNP109"
"985120016020905",7.9,116.1,33,"Male",-0.118158,2007,"FNP026"
"985120016020905",5.4,105.6,20,"Male",-0.118158,2005,"FNP007"
"985120016022202",4.9,86.4,14,"Male",-0.0348251,2004,"FNP026"
"985120016022329",8.3,112.2,19,"Male",-0.0231576,2004,"FNP094"
"985120016022329",6.19,102.5,15,"Male",-0.0231576,2004,"FNP091"
"985120016022370",5.6,105.9,19,"Female",-0.0797203,2004,"FNP119"
"985120016022370",5.09,100.5,15,"Female",-0.0797203,2004,"FNP121"
"985120016022370",5.09,100.5,15,"Female",-0.0797203,2004,"FNP122"
"985120016024442",6.09,100.4,15,"Female",-0.0486419,2004,"FNP116"
"985120016024616",7.6,105.7,15,"Male",-0.0622044,2004,"63"
"985120016024616",7,105.6,15,"Male",-0.0622044,2004,"FNP121"
"985120016024616",7,105.6,15,"Male",-0.0622044,2004,"FNP122"
"985120016025982",5.9,98.2,19,"Female",-0.123177,2004,"FNP028"
"985120016025982",5,94.69,14,"Female",-0.123177,2004,"FNP149"
"985120016030056",9.19,108,27,"Male",-0.00774876,2004,"FNP033"
"985120016046647",7.4,104.5,19,"Male",-0.0597568,2004,"FNP026"
"985120016046647",5.5,92.69,14,"Male",-0.0597568,2004,"FNP007"
"985120016046647",9.2,112.2,27,"Male",-0.0597568,2005,"49"
"985120016046743",5.09,100.6,15,"Female",-0.140814,2004,"FNP115"
"985120016055944",11.1,122.6,15,"Male",-0.0363422,2004,"FNP142"
"985120016057245",5.19,99.59,15,"Female",-0.0748196,2004,"FNP088"
"985120016060545",8.5,101.5,19,"Male",-0.0694022,2004,"FNP147"
"985120016060545",7.5,105.4,15,"Male",-0.0694022,2004,"FNP037"
"985120016060923",5.19,96.4,15,"Female",-0.0441484,2004,"FNP091"
"985120016061752",6.19,106.9,15,"Female",-0.139646,2004,"FNP120"
"985120016061752",6.9,105.6,19,"Female",-0.139646,2004,"FNP118"
"985120016061752",9.9,111.4,27,"Female",-0.139646,2005,"FNP158"
"985120016061752",6.8,108.6,32,"Female",-0.139646,2005,"FNP120"
